title,price,link,in stock,ratings
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),£52.29,http://books.toscrape.com/catalogue/../../../scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,In stock,Five
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),£16.28,http://books.toscrape.com/catalogue/../../../tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,In stock,One
This One Summer,£19.49,http://books.toscrape.com/catalogue/../../../this-one-summer_947/index.html,In stock,Four
The Nameless City (The Nameless City #1),£38.16,http://books.toscrape.com/catalogue/../../../the-nameless-city-the-nameless-city-1_940/index.html,In stock,Four
"Saga, Volume 5 (Saga (Collected Editions) #5)",£51.04,http://books.toscrape.com/catalogue/../../../saga-volume-5-saga-collected-editions-5_923/index.html,In stock,Two
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",£50.40,http://books.toscrape.com/catalogue/../../../rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,In stock,Three
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",£13.61,http://books.toscrape.com/catalogue/../../../princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,In stock,Five
"Pop Gun War, Volume 1: Gift",£18.97,http://books.toscrape.com/catalogue/../../../pop-gun-war-volume-1-gift_918/index.html,In stock,One
Patience,£10.16,http://books.toscrape.com/catalogue/../../../patience_916/index.html,In stock,Three
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",£15.44,http://books.toscrape.com/catalogue/../../../outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,In stock,Four
orange: The Complete Collection 1 (orange: The Complete Collection #1),£48.41,http://books.toscrape.com/catalogue/../../../orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,In stock,One
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",£46.91,http://books.toscrape.com/catalogue/../../../lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,In stock,Two
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",£45.61,http://books.toscrape.com/catalogue/../../../lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,In stock,Three
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),£19.92,http://books.toscrape.com/catalogue/../../../lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,In stock,Two
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",£29.17,http://books.toscrape.com/catalogue/../../../i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,In stock,Two
I am a Hero Omnibus Volume 1,£54.63,http://books.toscrape.com/catalogue/../../../i-am-a-hero-omnibus-volume-1_898/index.html,In stock,Three
"Giant Days, Vol. 2 (Giant Days #5-8)",£22.11,http://books.toscrape.com/catalogue/../../../giant-days-vol-2-giant-days-5-8_895/index.html,In stock,Two
Danganronpa Volume 1,£51.99,http://books.toscrape.com/catalogue/../../../danganronpa-volume-1_889/index.html,In stock,Four
"Codename Baboushka, Volume 1: The Conclave of Death",£36.72,http://books.toscrape.com/catalogue/../../../codename-baboushka-volume-1-the-conclave-of-death_887/index.html,In stock,Four
Camp Midnight,£17.08,http://books.toscrape.com/catalogue/../../../camp-midnight_886/index.html,In stock,Four
